Date,Air_quality_Code, pm25, pm10, no2, so2
2/25/2018,9,74,51,28,2
2/26/2018,9,80,48,38,1
2/27/2018,9,76,40,32,2
2/28/2018,9,82,46,39,2
3/1/2018,9,87,50,31,2
3/2/2018,9,100,66,31,2
3/3/2018,9,112,65,58,3
3/4/2018,9,112,56,45,2
3/5/2018,9,104,88,34,2
3/6/2018,9,131,53,41,2
3/7/2018,9,85,221,35,2
3/8/2018,9,140,51,22,1
3/9/2018,9,71,24,21,1
3/10/2018,9,51,33,33,2
3/11/2018,9,66,37,33,2
3/12/2018,9,73,39,35,2
3/13/2018,9,80,49,38,2
3/14/2018,9,103,40,37,2
3/15/2018,9,72,34,28,2
3/16/2018,9,71,22,17,1
3/17/2018,9,60,55,54,3
3/18/2018,9,96,62,56,3
3/19/2018,9,107,84,24,1
3/20/2018,9,101,74,32,2
3/21/2018,9,104,83,49,2
3/22/2018,9,130,78,57,2
3/23/2018,9,128,159,18,1
3/24/2018,9,142,51,29,1
3/25/2018,9,73,100,33,2
3/26/2018,9,109,74,37,2
3/27/2018,9,99,65,44,1
3/28/2018,9,98,64,23,1
3/29/2018,9,80,39,18,1
3/30/2018,9,62,28,13,1
3/31/2018,9,56,45,29,2
4/1/2018,9,87,41,27,2
4/2/2018,9,87,38,23,2
4/3/2018,9,71,50,23,2
4/4/2018,9,75,53,28,2
4/5/2018,9,92,42,17,2
4/6/2018,9,78,36,17,2
4/7/2018,9,80,31,19,1
4/8/2018,9,52,35,16,1
4/9/2018,9,64,27,19,1
4/10/2018,9,59,27,16,2
4/11/2018,9,66,36,20,2
4/12/2018,9,75,34,14,2
4/13/2018,9,67,29,8,1
4/14/2018,9,71,39,20,1
4/15/2018,9,73,46,18,2
4/16/2018,9,84,52,26,2
4/17/2018,9,91,54,24,2
4/18/2018,9,95,41,9,1
4/19/2018,9,68,54,7,1
4/20/2018,9,85,47,6,2
4/21/2018,9,75,28,12,1
4/22/2018,9,55,28,20,2
4/23/2018,9,57,33,17,2
4/24/2018,9,67,37,23,1
4/25/2018,9,65,44,23,1
4/26/2018,9,73,38,19,2
4/27/2018,9,61,40,5,1
4/28/2018,9,79,51,20,2
4/29/2018,9,100,50,27,2
4/30/2018,9,88,71,28,2
5/1/2018,9,90,72,31,2
5/2/2018,9,101,90,44,3
5/3/2018,9,145,93,39,3
