date, pm25, pm10, no2, so2,Air_quality_Code,,,,,
9/20/2018,51, ,1,,7,,,,,
9/21/2018,52, ,1,,7,,,,,
9/22/2018,52, ,1,,7,,,,,
9/23/2018,54, ,1,,7,,,,,
9/24/2018,62, ,1,,7,,,,,
9/25/2018,63, ,1,,7,,,,,
9/26/2018,57, ,1,,7,,,,,
9/27/2018,56, ,1,,7,,,,,
9/28/2018,55, ,1,,7,,,,,
9/29/2018,58, ,1,,7,,,,,
9/30/2018,63, ,1,,7,,,,,
10/1/2018,63, ,2,,7,,,,,
10/2/2018,57, ,3,,7,,,,,
10/3/2018,63, ,1,,7,,,,,
10/4/2018,55, ,1,,7,,,,,
10/5/2018,44, ,1,,7,,,,,
10/6/2018,57, ,1,,7,,,,,
10/7/2018,59, ,1,,7,,,,,
10/8/2018,61, , ,,7,,,,,
10/9/2018,60, ,1,,7,,,,,
10/10/2018,52, ,1,,7,,,,,
10/11/2018,47, , ,,7,,,,,
10/12/2018,45, , ,,7,,,,,
10/13/2018,55, ,1,,7,,,,,
10/14/2018,69, ,1,,7,,,,,
10/15/2018,52, ,1,,7,,,,,
10/16/2018,51, ,1,,7,,,,,
10/17/2018,49, ,1,,7,,,,,
10/18/2018,79, ,1,,7,,,,,
10/19/2018,109, ,1,,7,,,,,
10/20/2018,96, ,2,,7,,,,,
10/21/2018,53, ,2,,7,,,,,
10/22/2018,69, ,3,,7,,,,,
10/23/2018,89, ,2,,7,,,,,
10/24/2018,74, ,1,,7,,,,,
10/25/2018,98, ,1,,7,,,,,
10/26/2018,64, ,1,,7,,,,,
10/27/2018,38, ,1,,7,,,,,
10/28/2018,70, ,1,,7,,,,,
10/29/2018,131, ,1,,7,,,,,
10/30/2018,127, ,2,,7,,,,,
10/31/2018,77, ,1,,7,,,,,
11/1/2018,75, ,1,,7,,,,,
11/2/2018,75, ,1,,7,,,,,
11/3/2018,52, ,1,,7,,,,,
11/4/2018,48, ,1,,7,,,,,
11/5/2018,57, ,1,,7,,,,,
11/6/2018,61, ,1,,7,,,,,
11/7/2018,63, ,2,,7,,,,,
11/8/2018,63, ,2,,7,,,,,
11/9/2018,52, ,1,,7,,,,,
11/10/2018,22, ,1,,7,,,,,
11/11/2018,49, ,2,,7,,,,,
11/12/2018,51, ,2,,7,,,,,
11/13/2018,52, ,1,,7,,,,,
11/14/2018,49, ,1,,7,,,,,
11/15/2018,49, ,1,,7,,,,,
11/16/2018,52, ,1,,7,,,,,
11/17/2018,44, ,2,,7,,,,,
11/18/2018,51, ,2,,7,,,,,
11/19/2018,52, ,2,,7,,,,,
11/20/2018,60, ,2,,7,,,,,
11/21/2018,70, ,2,,7,,,,,
11/22/2018,70, ,2,,7,,,,,
11/23/2018,39, ,3,,7,,,,,
11/24/2018,39, ,2,,7,,,,,
11/25/2018,26, ,11,,7,,,,,
11/26/2018,38, , ,,7,,,,,
11/27/2018,46, , ,,7,,,,,
11/28/2018,51, ,3,,7,,,,,
11/29/2018,54, ,2,,7,,,,,
11/30/2018,56, ,2,,7,,,,,
12/1/2018,42, ,2,,7,,,,,
12/2/2018,45, ,2,,7,,,,,
12/3/2018,54, ,2,,7,,,,,
12/4/2018,52, ,3,,7,,,,,
12/5/2018,36, ,1,,7,,,,,
12/6/2018,24, ,1,,7,,,,,
12/7/2018,35, ,1,,7,,,,,
12/8/2018,39, ,2,,7,,,,,
12/9/2018,40, ,2,,7,,,,,
12/10/2018,49, ,3,,7,,,,,
12/11/2018,43, ,3,,7,,,,,
12/12/2018,38, ,2,,7,,,,,
12/13/2018,48, ,1,,7,,,,,
