date, pm25, pm10, no2, so2,Air_quality_Code
11/11/2017,53,61,30,2,9
11/12/2017,91,133,46,1,9
11/13/2017,156,88,51,2,9
11/14/2017,140,75,35,1,9
11/15/2017,125,84,39,1,9
11/16/2017,132,86,40,2,9
11/17/2017,141,67,26,1,9
11/18/2017,109,59,31,1,9
11/19/2017,94,60,35,1,9
11/20/2017,91,45,29,1,9
11/21/2017,66, , , ,9
11/22/2017, ,37,34,1,9
11/23/2017,61,29,30,1,9
11/24/2017,55,25,23,1,9
11/25/2017,56,45,38,1,9
11/26/2017,79,36,34,1,9
11/27/2017,73,41,39,1,9
11/28/2017,80,42,39,1,9
11/29/2017,77,30,28,1,9
11/30/2017,59,52,33,2,9
12/1/2017,90,60,27,2,9
12/2/2017,100,68,57,2,9
12/3/2017,123,69,50,2,9
12/4/2017,117,55,39,2,9
12/5/2017,96,40,23,2,9
12/6/2017,63,41,25,2,9
12/7/2017,51,32,28,2,9
12/8/2017,64,38,29,2,9
12/9/2017,76,63,41,2,9
12/10/2017,101,66,41,2,9
12/11/2017,110,77,67,2,9
12/12/2017,143,52,35,1,9
12/13/2017,97,31,28,1,9
12/14/2017,56,33,29,1,9
12/15/2017,67,30,20,1,9
12/16/2017,70,53,42,2,9
12/17/2017,92,65,57,2,9
12/18/2017,99,66,43,2,9
12/19/2017,110,86,48,3,9
12/20/2017,140,89,52,3,9
12/21/2017,142,83,54,3,9
12/22/2017,145,71,29,2,9
12/23/2017,114,56,25,1,9
12/24/2017,79,51,27,1,9
12/25/2017,60,45,35,2,9
12/26/2017,76,50,44,2,9
12/27/2017,78,63,44,2,9
12/28/2017,107,65,35,2,9
12/29/2017,115,46,26,1,9
12/30/2017,92, , , ,9
12/31/2017, ,35,33,2,9
1/1/2018,72,37,28,2,9
1/2/2018,63,46,42,2,9
1/3/2018,77,68,31,2,9
1/4/2018,102,73,13, ,9
1/5/2018,119,28,15,1,9
1/6/2018,71,43,34,2,9
1/7/2018,83,50,39,3,9
1/8/2018,96,40,43,2,9
1/9/2018,78,39,37,2,9
1/10/2018,79,57,56,4,9
1/11/2018,103,85,43,2,9
1/12/2018,135,65,30,2,9
1/13/2018,110,60,32,2,9
1/14/2018,97,34,33,2,9
1/15/2018,60,31,32,2,9
1/16/2018,60,32,33,2,9
1/17/2018,69,71,23,2,9
1/18/2018,87,43,10,1,9
1/19/2018,62,37,20,1,9
1/20/2018,72,56,44,2,9
1/21/2018,101,111,43,2,9
1/22/2018,147,59,25,1,9
1/23/2018,91,30,33,2,9
1/24/2018,63,25,30,1,9
1/25/2018,60,22,23,1,9
1/26/2018,60,19,24,1,9
1/27/2018,57,44,36,2,9
1/28/2018,73,44,38,2,9
1/29/2018,96,41,36,2,9
1/30/2018,127,35,34,2,9
1/31/2018,86,51,39,2,9
2/1/2018,102,59,35,2,9
2/2/2018,120,59,28,2,9
2/3/2018,125,67,47,3,9
2/4/2018,123,65,52,3,9
2/5/2018,127,66,49,3,9
2/6/2018,120,72,46,3,9
2/7/2018,122,94,50,3,9
2/8/2018,154,80,32,3,9
2/9/2018,141,72,26,2,9
2/10/2018,139,85,29,2,9
2/11/2018,137,36,19,1,9
2/12/2018,70,30,23,1,9
2/13/2018,49,30,22,2,9
2/14/2018,56,43,41,2,9
2/15/2018,87,49,27,2,9
2/16/2018,92,35,13,1,9
2/17/2018,108,48,16,1,9
2/18/2018,149,40,22,2,9
2/19/2018,75,42,31,2,9
2/20/2018,84,43,31,2,9
2/21/2018,75,43,28,2,9
2/22/2018,91,49,19,2,9
2/23/2018,93,44,17,2,9
2/24/2018,86,42,25,2,9
2/25/2018,74,51,28,2,9
2/26/2018,80,48,38,1,9
2/27/2018,76,40,32,2,9
2/28/2018,82,46,39,2,9
3/1/2018,87,50,31,2,9
3/2/2018,100,66,31,2,9
3/3/2018,112,65,58,3,9
3/4/2018,112,56,45,2,9
3/5/2018,104,88,34,2,9
3/6/2018,131,53,41,2,9
3/7/2018,85,221,35,2,9
3/8/2018,140,51,22,1,9
3/9/2018,71,24,21,1,9
3/10/2018,51,33,33,2,9
3/11/2018,66,37,33,2,9
3/12/2018,73,39,35,2,9
3/13/2018,80,49,38,2,9
3/14/2018,103,40,37,2,9
3/15/2018,72,34,28,2,9
3/16/2018,71,22,17,1,9
3/17/2018,60,55,54,3,9
3/18/2018,96,62,56,3,9
3/19/2018,107,84,24,1,9
3/20/2018,101,74,32,2,9
3/21/2018,104,83,49,2,9
3/22/2018,130,78,57,2,9
3/23/2018,128,159,18,1,9
3/24/2018,142,51,29,1,9
3/25/2018,73,100,33,2,9
3/26/2018,109,74,37,2,9
3/27/2018,99,65,44,1,9
3/28/2018,98,64,23,1,9
3/29/2018,80,39,18,1,9
3/30/2018,62,28,13,1,9
3/31/2018,56,45,29,2,9
4/1/2018,87,41,27,2,9
4/2/2018,87,38,23,2,9
4/3/2018,71,50,23,2,9
4/4/2018,75,53,28,2,9
4/5/2018,92,42,17,2,9
4/6/2018,78,36,17,2,9
4/7/2018,80,31,19,1,9
4/8/2018,52,35,16,1,9
4/9/2018,64,27,19,1,9
4/10/2018,59,27,16,2,9
4/11/2018,66,36,20,2,9
4/12/2018,75,34,14,2,9
4/13/2018,67,29,8,1,9
4/14/2018,71,39,20,1,9
4/15/2018,73,46,18,2,9
4/16/2018,84,52,26,2,9
4/17/2018,91,54,24,2,9
4/18/2018,95,41,9,1,9
4/19/2018,68,54,7,1,9
4/20/2018,85,47,6,2,9
4/21/2018,75,28,12,1,9
4/22/2018,55,28,20,2,9
4/23/2018,57,33,17,2,9
4/24/2018,67,37,23,1,9
4/25/2018,65,44,23,1,9
4/26/2018,73,38,19,2,9
4/27/2018,61,40,5,1,9
4/28/2018,79,51,20,2,9
4/29/2018,100,50,27,2,9
4/30/2018,88,71,28,2,9
5/1/2018,90,72,31,2,9
5/2/2018,101,90,44,3,9
5/3/2018,145,93,39,3,9
5/4/2018,137,74,4,1,9
5/5/2018,97,58,17,2,9
5/6/2018,98,55,13,1,9
5/7/2018,89,45,13,2,9
5/8/2018,66,37,13,1,9
5/9/2018,58,56,27,2,9
5/10/2018,87,39,7,1,9
5/11/2018,78,36,4,1,9
5/12/2018,67,31,15,1,9
5/13/2018,60,29,16,1,9
5/14/2018,63,25,16,2,9
5/15/2018,68,29,11,2,9
5/16/2018,63,43,26,2,9
5/17/2018,89,47,26,2,9
5/18/2018,74,42,12,2,9
5/19/2018,78,28,6,2,9
5/20/2018,75,36,20,2,9
5/21/2018,85,70,52,3,9
5/22/2018,110,55,18,2,9
5/23/2018,84,52,16,1,9
5/24/2018,93,55,17,2,9
5/25/2018,91,40,3,1,9
5/26/2018,74,35,9,1,9
5/27/2018,76,33,8,1,9
5/28/2018,69,26,8,1,9
5/29/2018,70,33,10,1,9
5/30/2018,69,41,12,1,9
5/31/2018,82,43,10,1,9
6/1/2018,89,33,4,1,9
6/2/2018,75,43,11,1,9
6/3/2018,93,63,11,1,9
6/4/2018,140,53,14,1,9
6/5/2018,104,37,14,1,9
6/6/2018,68,42,9,1,9
6/7/2018,79,35,8,1,9
6/8/2018,77,45,5,1,9
6/9/2018,86,55,12,1,9
6/10/2018,94,38,12,1,9
6/11/2018,64,33,10,1,9
6/12/2018,58,34,13,1,9
6/13/2018,74,35,13,1,9
6/14/2018,69,32,12,2,9
6/15/2018,68,42,14,1,9
6/16/2018,79,31,7,1,9
6/17/2018,53,26,11,1,9
6/18/2018,52,25,12,1,9
6/19/2018,58,25,11,1,9
6/20/2018,48,24,11,1,9
6/21/2018,51,24,12,2,9
6/22/2018,53,21,5,1,9
6/23/2018,58,34,12,1,9
6/24/2018,59,30,9,1,9
6/25/2018,61,36,13,1,9
6/26/2018,72,35,16,2,9
6/27/2018,69,31,12,1,9
6/28/2018,62,25,5,1,9
6/29/2018,62,19,3,1,9
6/30/2018,83,26,10,1,9
7/1/2018,62,24,11,1,9
7/2/2018,51,20,10,1,9
7/3/2018,51,25,14,1,9
7/4/2018,65,41,13,1,9
7/5/2018,74,46,7,1,9
7/6/2018,79,40,4,1,9
7/7/2018,74,38,15,1,9
7/8/2018,75,38,14,1,9
7/9/2018,71,40,13,1,9
7/10/2018,64,36,9,1,9
7/11/2018,57,24,13,1,9
7/12/2018,48,35,9,1,9
7/13/2018,72,45,4,1,9
7/14/2018,77,62,11,1,9
7/15/2018,83,47,16,1,9
7/16/2018,84,38,11,1,9
7/17/2018,71,34,12,1,9
7/18/2018,72,42,13,1,9
7/19/2018,75,33,7,1,9
7/20/2018,57,24,3,1,9
7/21/2018,49,34,10,1,9
7/22/2018,73,39,13,1,9
7/23/2018,73,43,21,1,9
7/24/2018,75,63,24,2,9
7/25/2018,96,28,12,1,9
7/26/2018,47,24,8,1,9
7/27/2018,54,23,5,1,9
7/28/2018,53,27,10,1,9
7/29/2018,59,23,12,1,9
7/30/2018,55,24,11,1,9
7/31/2018,66,24,13,1,9
8/1/2018,59,30,12,1,9
8/2/2018,76,39,7,1,9
8/3/2018,76,40,4,1,9
8/4/2018,77,37,9,1,9
8/5/2018,67,34,10,1,9
8/6/2018,67,34,12,1,9
8/7/2018,72,35,10,1,9
8/8/2018,70,36,10,1,9
8/9/2018,66,32,7,1,9
8/10/2018,67,28,4,1,9
8/11/2018,65,34,13,1,9
8/12/2018,68,34,11,1,9
8/13/2018,56,36,13,3,9
8/14/2018,65,39,12,1,9
8/15/2018,66,35,15,1,9
8/16/2018,66,34,9,1,9
8/17/2018,68,27,6,1,9
8/18/2018,61,34,11,1,9
8/19/2018,65,36,12,1,9
8/20/2018,65,33,12,1,9
