Date,Temp_location_code,Temp_c
26/09/2017,1381,26.9
27/09/2017,1381,26.8
28/09/2017,1381,26.2
29/09/2017,1381,27
30/09/2017,1381,26.4
01/10/2017,1381,26.8
02/10/2017,1381,30.3
03/10/2017,1381,28.1
04/10/2017,1381,26.2
05/10/2017,1381,26.1
06/10/2017,1381,26.3
07/10/2017,1381,26.2
08/10/2017,1381,27.4
09/10/2017,1381,26.2
10/10/2017,1381,25.1
11/10/2017,1381,25.2
12/10/2017,1381,24.9
13/10/2017,1381,25.8
14/10/2017,1381,26.2
15/10/2017,1381,25.2
16/10/2017,1381,25.1
17/10/2017,1381,26.5
18/10/2017,1381,29.2
19/10/2017,1381,33.9
20/10/2017,1381,26.4
21/10/2017,1381,25.4
22/10/2017,1381,24.7
23/10/2017,1381,24.3
24/10/2017,1381,24.5
25/10/2017,1381,24.6
26/10/2017,1381,31
27/10/2017,1381,29.8
28/10/2017,1381,25.2
29/10/2017,1381,24.6
30/10/2017,1381,24.1
31/10/2017,1381,24.6
01/11/2017,1381,24.5
02/11/2017,1381,23.2
03/11/2017,1381,22.8
04/11/2017,1381,23.2
05/11/2017,1381,23.2
06/11/2017,1381,23.8
07/11/2017,1381,23.1
08/11/2017,1381,23.6
09/11/2017,1381,23.1
10/11/2017,1381,22.4
11/11/2017,1381,22.5
12/11/2017,1381,28.2
13/11/2017,1381,30.6
14/11/2017,1381,24
15/11/2017,1381,23.7
16/11/2017,1381,26.1
17/11/2017,1381,27.1
18/11/2017,1381,27.4
19/11/2017,1381,23.3
20/11/2017,1381,22.6
21/11/2017,1381,21.9
22/11/2017,1381,19.3
23/11/2017,1381,19.2
24/11/2017,1381,20.1
25/11/2017,1381,22.1
26/11/2017,1381,23.7
27/11/2017,1381,20.6
28/11/2017,1381,21.2
29/11/2017,1381,21.3
30/11/2017,1381,20.7
01/12/2017,1381,24.8
02/12/2017,1381,25.3
03/12/2017,1381,27.6
04/12/2017,1381,28.5
05/12/2017,1381,21.6
06/12/2017,1381,21.2
07/12/2017,1381,17.1
08/12/2017,1381,18.9
09/12/2017,1381,20.7
10/12/2017,1381,20.2
11/12/2017,1381,22.2
12/12/2017,1381,25.3
13/12/2017,1381,20.8
14/12/2017,1381,20.3
15/12/2017,1381,20.3
16/12/2017,1381,22.3
17/12/2017,1381,23
18/12/2017,1381,23.4
19/12/2017,1381,23
20/12/2017,1381,22.5
21/12/2017,1381,22.3
22/12/2017,1381,26.3
23/12/2017,1381,22.4
24/12/2017,1381,20.3
25/12/2017,1381,17
26/12/2017,1381,19.8
27/12/2017,1381,21.7
28/12/2017,1381,20.2
29/12/2017,1381,19.8
30/12/2017,1381,19.3
31/12/2017,1381,18.2
01/01/2018,1381,17.9
02/01/2018,1381,19.1
03/01/2018,1381,18.9
04/01/2018,1381,17.9
05/01/2018,1381,17.5
06/01/2018,1381,18.2
07/01/2018,1381,19
08/01/2018,1381,18.7
09/01/2018,1381,17.9
10/01/2018,1381,18.2
11/01/2018,1381,21.6
12/01/2018,1381,19.3
13/01/2018,1381,21.7
14/01/2018,1381,18.5
15/01/2018,1381,18.3
16/01/2018,1381,17.6
17/01/2018,1381,17
18/01/2018,1381,19.2
19/01/2018,1381,18.4
20/01/2018,1381,17.4
21/01/2018,1381,20.8
22/01/2018,1381,18.4
23/01/2018,1381,18.5
24/01/2018,1381,16.9
25/01/2018,1381,15.7
26/01/2018,1381,15.4
27/01/2018,1381,13.2
28/01/2018,1381,16
29/01/2018,1381,16.7
30/01/2018,1381,16.6
31/01/2018,1381,16.8
01/02/2018,1381,19
02/02/2018,1381,20.7
03/02/2018,1381,18.4
04/02/2018,1381,20.9
05/02/2018,1381,20.9
06/02/2018,1381,21
07/02/2018,1381,20
08/02/2018,1381,22.5
09/02/2018,1381,20.7
10/02/2018,1381,24.7
11/02/2018,1381,23.1
12/02/2018,1381,18.1
13/02/2018,1381,17.1
14/02/2018,1381,17.4
15/02/2018,1381,20.7
16/02/2018,1381,20.4
17/02/2018,1381,17.4
18/02/2018,1381,18
19/02/2018,1381,17.8
20/02/2018,1381,18.7
21/02/2018,1381,17.7
22/02/2018,1381,19.2
23/02/2018,1381,18.9
24/02/2018,1381,18.2
25/02/2018,1381,19.9
26/02/2018,1381,19.9
27/02/2018,1381,18.6
28/02/2018,1381,20.5
01/03/2018,1381,18.2
02/03/2018,1381,18.1
03/03/2018,1381,22.6
04/03/2018,1381,24.5
05/03/2018,1381,21.4
06/03/2018,1381,24.3
07/03/2018,1381,18.9
08/03/2018,1381,27.2
09/03/2018,1381,19
10/03/2018,1381,18.6
11/03/2018,1381,18.2
12/03/2018,1381,18.4
13/03/2018,1381,18.2
14/03/2018,1381,19.7
15/03/2018,1381,18.7
16/03/2018,1381,18.4
17/03/2018,1381,17.9
18/03/2018,1381,29.9
19/03/2018,1381,31.8
20/03/2018,1381,25.9
21/03/2018,1381,20
22/03/2018,1381,32.9
23/03/2018,1381,32.7
24/03/2018,1381,27.8
25/03/2018,1381,18.8
26/03/2018,1381,27.7
27/03/2018,1381,20
28/03/2018,1381,29.4
29/03/2018,1381,23.7
30/03/2018,1381,18.3
