date, pm25, pm10, no2, so2,Air_quality_Code
10/6/2018,54,30,8, ,3
10/7/2018,51,31,7, ,3
10/8/2018,53,30,7, ,3
10/9/2018,45,27,7, ,3
10/10/2018,43,29,9, ,3
10/11/2018,45,21,6, ,3
10/12/2018,37,22,3, ,3
10/13/2018,40,33,7, ,3
10/14/2018,36,28,8, ,3
10/15/2018,29,23,9, ,3
10/16/2018,29,22,4, ,3
10/17/2018,31,45,7, ,3
10/18/2018,41,72,4, ,3
10/19/2018,52,54,5, ,3
10/20/2018,46,44,6, ,3
10/21/2018,36,84,8, ,3
10/22/2018,57,70,9, ,3
10/23/2018,60,75,11, ,3
10/24/2018,68,176,5, ,3
10/25/2018,91,18,3, ,3
10/26/2018,16,12,6, ,3
10/27/2018,14,44,6, ,3
10/28/2018,30,61,6, ,3
10/29/2018,49,79,4, ,3
10/30/2018,71,55,6, ,3
10/31/2018,49,65,7, ,3
11/1/2018,46,38,3, ,3
11/2/2018,58,28,3, ,3
11/3/2018,38,42,6, ,3
11/4/2018,45,21,7, ,3
11/5/2018,32,26,8, ,3
11/6/2018,55,33,11, ,3
11/7/2018,69,39,14, ,3
11/8/2018,80,42,10, ,3
11/9/2018,88,21,5, ,3
11/10/2018,46,33,10, ,3
11/11/2018,62,29,9, ,3
11/12/2018,61,33,13, ,3
11/13/2018,59,31,12, ,3
11/14/2018,62,25,11, ,3
11/15/2018,53,20,3, ,3
11/16/2018,37,26,5, ,3
11/17/2018,47,36,12, ,3
11/18/2018,56,37,10, ,3
11/19/2018,59,44,11, ,3
11/20/2018,75,45,10, ,3
11/21/2018,76,41,12, ,3
11/22/2018,57,17,6, ,3
11/23/2018,30,19,6, ,3
11/24/2018,31,21,11, ,3
11/25/2018,41,29,13, ,3
11/26/2018,48,31,13, ,3
11/27/2018,52,34,12, ,3
11/28/2018,46,44,18, ,3
11/29/2018,64,36,7, ,3
11/30/2018,64,28,5, ,3
12/1/2018,32,37,14, ,3
12/2/2018,44,44,14, ,3
12/3/2018,54,35,11, ,3
12/4/2018,52, ,4, ,3
12/5/2018,34,36,3, ,3
12/6/2018,46,34,2, ,3
12/7/2018,45,16,4, ,3
12/8/2018,37,31,13, ,3
12/9/2018,60,29,11, ,3
12/10/2018,60,28,12, ,3
12/11/2018,44,27,4, ,3
12/12/2018,30,9,6, ,3
12/13/2018,18,26,12, ,3
12/14/2018,54,25,3, ,3
12/15/2018,35,57,15, ,3
12/16/2018,74,56,8, ,3
12/17/2018,64,31,12, ,3
12/18/2018,41,39,9, ,3
12/19/2018,53,30,4, ,3
12/20/2018,28,13,7, ,3
12/21/2018,36,13,7, ,3
12/22/2018,39,26,12, ,3
12/23/2018,65,26,14, ,3
12/24/2018,66,30,16, ,3
12/25/2018,70,23,11, ,3
12/26/2018,51,34,2, ,3
12/27/2018,41,18,4, ,3
12/28/2018,38,16,5, ,3
12/29/2018,42,16,7, ,3
12/30/2018,51, , , ,3
12/31/2018, ,18,12, ,3
1/1/2019,37,23,8, ,3
1/2/2019,52,69,9, ,3
1/3/2019,64,29,8, ,3
1/4/2019,45,32,10, ,3
1/5/2019,67,256,4, ,3
1/6/2019,115,56,3, ,3
1/7/2019,89,23,2, ,3
1/8/2019,12,2,7, ,3
1/9/2019,13,3,10, ,3
1/10/2019,16,4,6, ,3
1/11/2019,9,6,5, ,3
1/12/2019,14,7,3, ,3
1/13/2019,7,155,3, ,3
1/14/2019,164,82,4, ,3
1/15/2019,155,291,2, ,3
1/16/2019,187,57,3, ,3
1/17/2019,127,40,5, ,3
1/18/2019,113,44,7, ,3
1/19/2019,124,49,13, ,3
1/20/2019,115,69,9, ,3
1/21/2019,135,120,12, ,3
1/22/2019,167,69,10, ,3
1/23/2019,89,73,8, ,3
1/24/2019,76,82,5, ,3
1/25/2019,92,60,5, ,3
1/26/2019,77,109,12, ,3
1/27/2019,126,62,6, ,3
1/28/2019,67,33,9, ,3
1/29/2019,47,46,11, ,3
1/30/2019,55,68,13, ,3
1/31/2019,85,57,8, ,3
2/1/2019,74,46,5, ,3
2/2/2019,65,42,13, ,3
2/3/2019,59,61,6, ,3
2/4/2019,53,103,4, ,3
2/5/2019,81,70,6, ,3
2/6/2019,92,37,7, ,3
2/7/2019,53,40,7, ,3
2/8/2019,55,25,6, ,3
2/9/2019,41,14,11, ,3
2/10/2019,36,18,8, ,3
2/11/2019,34,24,9, ,3
2/12/2019,43,28,10, ,3
2/13/2019,40,77,4, ,3
2/14/2019,72,106,2, ,3
2/15/2019,113,23,5, ,3
2/16/2019,35,27,10, ,3
2/17/2019,40,18,5, ,3
2/18/2019,25,22,8, ,3
2/19/2019,42,24,10, ,3
2/20/2019,52,27,12, ,3
2/21/2019,53,26,9, ,3
2/22/2019,52,20,6, ,3
2/23/2019,47,36,12, ,3
2/24/2019,69,60,8, ,3
2/25/2019,64,66,6, ,3
2/26/2019,72,30,3, ,3
2/27/2019,34,36,3, ,3
2/28/2019,31,13,2, ,3
3/1/2019,29,18,5, ,3
3/2/2019,35,40,11, ,3
3/3/2019,52,35,9, ,3
3/4/2019,45,17,10, ,3
3/5/2019,43,13,10, ,3
3/6/2019,54,13,8, ,3
3/7/2019,50,9,5, ,3
3/8/2019,39,10,5, ,3
3/9/2019,43,19,10, ,3
3/10/2019,67,11,8, ,3
3/11/2019,43,21,12, ,3
3/12/2019,61, ,5, ,3
3/13/2019,43, ,3, ,3
3/14/2019,50, ,3, ,3
3/15/2019,32, ,3, ,3
3/16/2019,31, ,4, ,3
3/17/2019,34,26,9, ,3
3/18/2019,48,27,11, ,3
3/19/2019,46,38,6, ,3
3/20/2019,79,33,5, ,3
3/21/2019,74,26,4, ,3
3/22/2019,61,36,5, ,3
3/23/2019,80,29,8, ,3
3/24/2019,55,14,7, ,3
3/25/2019,24,20,6, ,3
3/26/2019,24,34,9, ,3
3/27/2019,57,36,9, ,3
3/28/2019,62,27,5, ,3
3/29/2019,33,234,2, ,3
3/30/2019,113,24,3, ,3
3/31/2019,32,29,3, ,3
4/1/2019,41,32,7, ,3
4/2/2019,48,39,12, ,3
4/3/2019,59,39,12, ,3
4/4/2019,59, , , ,3
4/6/2019, ,61,8, ,3
