date,Air_quality_Code, pm25, pm10, no2, so2
6/11/2018,8,70, ,2, 
6/12/2018,8,70, ,3, 
6/13/2018,8,78, ,4, 
6/14/2018,8,81, ,4, 
6/15/2018,8,80, ,5,1
6/16/2018,8,81, ,1, 
6/17/2018,8,72, ,4, 
6/18/2018,8,62, ,4, 
6/19/2018,8,61, ,4, 
6/20/2018,8,62, ,3, 
6/21/2018,8,59, ,5, 
6/22/2018,8,62, ,2, 
6/23/2018,8,67, ,3, 
6/24/2018,8,73, ,4, 
6/25/2018,8,99, ,4, 
6/26/2018,8,101, ,7,2
6/27/2018,8,85, ,5, 
6/28/2018,8,79, , , 
6/29/2018,8,67, ,3, 
6/30/2018,8,61, ,3, 
7/1/2018,8,64, ,3, 
7/2/2018,8,70, ,2, 
7/3/2018,8,66, ,2, 
7/4/2018,8,76, ,5, 
7/5/2018,8,91, ,2, 
7/6/2018,8,93, ,8, 
7/7/2018,8,96, ,8, 
7/8/2018,8,94, ,6, 
7/9/2018,8,89, ,6, 
7/10/2018,8,82, ,3, 
7/11/2018,8,79, ,1, 
7/12/2018,8,72, ,3, 
7/13/2018,8,84, ,1, 
7/14/2018,8,93, ,3, 
7/15/2018,8,104, ,5, 
7/16/2018,8,111, ,3, 
7/17/2018,8,91, ,5, 
7/18/2018,8,101, ,4, 
7/19/2018,8,120, ,2, 
7/20/2018,8,95, ,2, 
7/21/2018,8,81, ,2, 
7/22/2018,8,92, ,3, 
7/23/2018,8,95, ,6, 
7/24/2018,8,107, ,12,1
7/25/2018,8,131, ,2, 
7/26/2018,8,77, ,4, 
7/27/2018,8,93, , , 
7/28/2018,8,94, ,1, 
7/29/2018,8,85, ,2, 
7/30/2018,8,85, ,3, 
7/31/2018,8,82, ,2, 
8/1/2018,8,107, ,1, 
8/2/2018,8,116, ,1, 
8/3/2018,8,109, , , 
8/4/2018,8, , ,2, 
8/5/2018,8,131, ,2, 
8/6/2018,8,127, ,2, 
8/7/2018,8,136, ,1, 
8/8/2018,8,137, ,2, 
8/9/2018,8,135, ,2, 
8/10/2018,8,134, ,2, 
8/11/2018,8,144, ,3, 
8/12/2018,8,137, ,2, 
8/13/2018,8,137, ,2, 
8/14/2018,8,137, ,3, 
8/15/2018,8,129, ,4, 
8/16/2018,8,76, ,3, 
8/17/2018,8,75, ,1, 
8/18/2018,8,71, ,3, 
8/19/2018,8,75, ,3, 
8/20/2018,8,79, ,2,5
8/21/2018,8,84, ,2, 
8/22/2018,8,83, ,2, 
8/23/2018,8,83, ,4, 
8/24/2018,8,80, ,1, 
8/25/2018,8,75, ,1, 
8/26/2018,8,73, ,1, 
8/27/2018,8,63, ,3, 
8/28/2018,8,72, ,4, 
8/29/2018,8,74, ,3, 
8/30/2018,8,69,38,2, 
8/31/2018,8,69,39,1, 
9/1/2018,8,70,47,3, 
9/2/2018,8,77,54,5, 
9/3/2018,8,111,61,5, 
9/4/2018,8,97,54,9, 
9/5/2018,8,86,53,4, 
9/6/2018,8,79, ,4, 
9/7/2018,8,73, ,3, 
9/8/2018,8,68, ,3, 
9/9/2018,8,72, ,2, 
9/10/2018,8,79, ,4, 
9/11/2018,8,80, ,9,1
9/12/2018,8,82, ,5, 
9/13/2018,8,78, ,4, 
9/14/2018,8,73, ,2, 
9/15/2018,8,68, ,7, 
9/16/2018,8,79, ,6, 
9/17/2018,8,77, ,6, 
9/18/2018,8,72, , , 
9/19/2018,8,68, ,5, 
9/20/2018,8,77, ,9, 
9/21/2018,8,77, ,2, 
9/22/2018,8,75, ,10, 
9/23/2018,8,78, ,3, 
9/24/2018,8,81, ,7, 
9/25/2018,8,88, ,6, 
9/26/2018,8,87, ,8, 
9/27/2018,8,81, ,10,1
9/28/2018,8,92, ,5, 
9/29/2018,8,81, ,9, 
9/30/2018,8,79, ,5, 
10/1/2018,8,66, ,6, 
10/2/2018,8,74, ,6,1
10/3/2018,8,77, ,6, 
