date,Air_quality_Code, pm25, pm10, no2, so2
1/13/2019,2,140, ,7,2
1/14/2019,2,126, ,12,1
1/15/2019,2,70, ,3,1
1/16/2019,2,68, ,4,1
1/17/2019,2,41, ,9,1
1/18/2019,2,33, ,9,1
1/19/2019,2,45, ,22,1
1/20/2019,2,62, ,19,1
1/21/2019,2,66, ,18,1
1/22/2019,2,84, ,21,2
1/23/2019,2,85, ,9,1
1/24/2019,2,68, ,14,1
1/25/2019,2,78, ,12, 
1/26/2019,2,69, ,10,1
1/27/2019,2,121, ,7, 
1/28/2019,2,68, ,13,1
1/29/2019,2,47, ,16,5
1/30/2019,2,61, ,14,2
1/31/2019,2,81, ,12,1
2/1/2019,2,65, ,8,1
2/2/2019,2,49, ,19,1
2/3/2019,2,48, ,15,1
2/4/2019,2,56, ,8,1
2/5/2019,2,93, ,9, 
2/6/2019,2,96, ,11, 
2/7/2019,2,74, ,7,1
2/8/2019,2,71, ,4, 
2/9/2019,2,40, ,6, 
2/10/2019,2,30, ,9, 
2/11/2019,2,37, ,12,1
2/12/2019,2,44, ,19,1
2/13/2019,2,60, ,8,1
2/14/2019,2,74, ,3, 
2/15/2019,2,119, ,4, 
2/16/2019,2,44, ,10,1
2/17/2019,2,44, ,8, 
2/18/2019,2,33, ,9, 
2/19/2019,2,42, ,10, 
2/20/2019,2,50, ,13, 
2/21/2019,2,49, ,6, 
2/22/2019,2,34, ,7, 
2/23/2019,2,39, ,16,1
2/24/2019,2,62, ,18,1
2/25/2019,2,81, ,9,1
2/26/2019,2,92, ,3, 
2/27/2019,2,47, ,3,1
2/28/2019,2,38, ,2, 
3/1/2019,2,35, ,3, 
3/2/2019,2,52, ,13, 
3/3/2019,2,43, ,10, 
3/4/2019,2,47, ,14, 
3/5/2019,2,41, ,11, 
3/6/2019,2,46, ,7, 
3/7/2019,2,42, ,5, 
3/8/2019,2,43, ,8,1
3/9/2019,2,37, ,7, 
3/10/2019,2,37, ,10, 
3/11/2019,2,38, ,13,1
3/12/2019,2,57, ,7,1
3/13/2019,2,58, ,3, 
3/14/2019,2,73, ,5,1
3/15/2019,2,49, ,3, 
3/16/2019,2,47, ,5, 
3/17/2019,2,55, ,10,1
3/18/2019,2,52, ,16,1
3/19/2019,2,51, , ,1
3/20/2019,2,60, , ,1
3/21/2019,2,68, , , 
3/22/2019,2,53, , ,2
3/23/2019,2,63, , ,1
3/24/2019,2,56, ,12, 
3/25/2019,2,31, ,5,1
3/26/2019,2,47, ,7,1
3/27/2019,2,65, ,11,1
3/28/2019,2,67, ,10,1
3/29/2019,2,54, ,5,1
3/30/2019,2,109, ,4, 
3/31/2019,2,36, ,5, 
4/1/2019,2,47, ,10,1
4/2/2019,2,55, ,13,2
